seed,round,accuracy,accuracy_percent,risk_score,risk_level,suspicious_clients,aggregator,trust_client_1,trust_client_2,trust_client_3,trust_client_4,trust_client_5,trust_client_6,trust_client_7,trust_client_8,trust_client_9,trust_client_10
42,1,0.4884,48.84,0.22103502102813966,LOW,2,TRUST_AWARE_FEDAVG,1.0,0.9973475236717776,1.0,0.9878137247171669,1.0,0.9916206547441453,1.0,1.0,0.7247995180598715,0.7260394707890985
42,2,0.6544,65.44,0.3625183117260421,MEDIUM,2,TRUST_WEIGHTED_ROBUST,1.0,0.9984085142030665,1.0,0.9926882348303001,1.0,0.9949723928464872,1.0,1.0,0.28487971083727837,0.2856236824747863
42,3,0.8321,83.21,0.42134543680445613,MEDIUM,2,TRUST_WEIGHTED_ROBUST,1.0,0.9990451085218399,1.0,0.9956129408981801,0.9595482088553845,0.9969834357078923,0.9627670646458076,0.9831924356964864,0.13224240379482197,0.13316174677718343
42,4,0.8661,86.61,0.49383586780665756,MEDIUM,2,TRUST_WEIGHTED_ROBUST,1.0,0.999427065113104,0.990378464120436,0.9931778876767767,0.9757289253132307,0.9981900614247353,0.9759736006427941,0.9899154614178919,0.043332682235009884,0.03816838875162418
42,5,0.8926,89.25999999999999,0.521281040567921,MEDIUM,2,TRUST_WEIGHTED_ROBUST,0.9872847270252729,0.9996562390678624,0.9942270784722615,0.995906732606066,0.9650554556906006,0.9989140368548411,0.9855841603856765,0.9936206216681944,0.0,0.0
42,6,0.9071,90.71000000000001,0.5273571353872094,MEDIUM,2,TRUST_WEIGHTED_ROBUST,0.9771719227092991,0.9997937434407175,0.996536247083357,0.9975440395636396,0.9790332734143603,0.9993484221129046,0.9833520980933882,0.9959793988206049,0.0,0.0
42,7,0.9145,91.45,0.5323908586360375,MEDIUM,2,TRUST_WEIGHTED_ROBUST,0.9863031536255794,0.9998762460644305,0.9766595101323227,0.9985264237381838,0.9840551195466745,0.9720405156743883,0.9900112588560329,0.9975876392923629,0.0,0.0
42,8,0.9226,92.25999999999999,0.5350523375281063,MEDIUM,2,TRUST_WEIGHTED_ROBUST,0.9917818921753476,0.9589598199495545,0.9843951843553431,0.9991158542429103,0.9904330717280047,0.983224309404633,0.9799427626455014,0.9985525835754178,0.0,0.0
42,9,0.9254,92.54,0.5365625565750533,MEDIUM,2,TRUST_WEIGHTED_ROBUST,0.9950691353052086,0.9753758919697327,0.9758490542125495,0.9994695125457461,0.9929884956202255,0.9781455900269793,0.9879656575873008,0.9991315501452507,0.0,0.0
42,10,0.9333,93.33,0.5382299809717431,MEDIUM,2,TRUST_WEIGHTED_ROBUST,0.9714070741939749,0.9852255351818396,0.9855094325275298,0.9839619040585266,0.9957930973721353,0.9868873540161875,0.9927793945523805,0.9975690235345465,0.0,0.0
123,1,0.5968,59.68,0.215904902074708,LOW,2,TRUST_AWARE_FEDAVG,0.9732143345081625,1.0,0.9640133616205927,1.0,1.0,0.9964663245817431,1.0,1.0,0.7178265990954524,0.7162955405563111
123,2,0.8036,80.36,0.35321161928492406,MEDIUM,2,TRUST_WEIGHTED_ROBUST,0.9839286007048975,1.0,0.9784080169723556,1.0,0.8640547377417784,0.9978797947490459,0.7928331513198021,0.8220377920030253,0.3405916995563606,0.3386353824479319
123,3,0.8701,87.01,0.45302396784976995,MEDIUM,2,TRUST_WEIGHTED_ROBUST,0.9895153997464639,1.0,0.9870448101834134,1.0,0.8350995093117337,0.9987278768494275,0.7852249398300847,0.7919433588190602,0.16072794192480586,0.16232763968176558
123,4,0.8994,89.94,0.5113824031919374,MEDIUM,2,TRUST_WEIGHTED_ROBUST,0.9937092398478783,1.0,0.9903616109086715,0.996911686399244,0.8518793777181878,0.9992367261096565,0.8219546360291984,0.8153697684179381,0.0545106922757749,0.059615701284058936
123,5,0.9133,91.33,0.5370579561576279,MEDIUM,2,TRUST_WEIGHTED_ROBUST,0.9937666849848201,0.9861279168917376,0.9942169665452029,0.9981470118395463,0.8616420341388196,0.9995420356657939,0.860652456414267,0.8567015358475109,0.00518878340225315,0.0
123,6,0.9227,92.27,0.540924872518543,MEDIUM,2,TRUST_WEIGHTED_ROBUST,0.9962600109908921,0.9916767501350425,0.9654738716223908,0.9988882071037278,0.8941389567993318,0.9997252213994764,0.8810643321432894,0.8562907888754436,0.0,0.0
123,7,0.9291,92.91,0.5401037288742581,MEDIUM,2,TRUST_WEIGHTED_ROBUST,0.9977560065945352,0.9950060500810255,0.9792843229734345,0.995018557223212,0.9198297180816808,0.9917404777760186,0.9061985697700343,0.8971208173273479,0.0,0.0
123,8,0.9364,93.64,0.5413703415532019,MEDIUM,2,TRUST_WEIGHTED_ROBUST,0.9833561551026708,0.9970036300486153,0.9670273614482933,0.9846609407548923,0.939458770905049,0.9950442866656112,0.9312800819180611,0.9258334304524494,0.0,0.0
123,9,0.9429,94.28999999999999,0.5424084506944198,MEDIUM,2,TRUST_WEIGHTED_ROBUST,0.9900136930616025,0.9982021780291691,0.980216416868976,0.9860677900231984,0.9542255426201774,0.9970265719993667,0.9331989960844372,0.9093061599171836,0.0,0.0
123,10,0.9477,94.77,0.5438150028168482,MEDIUM,2,TRUST_WEIGHTED_ROBUST,0.9712530139122364,0.9989213068175015,0.9468382800391565,0.9916406740139191,0.958107718916657,0.99821594319962,0.9526526099102915,0.9383169082099393,0.0,0.0
456,1,0.4387,43.87,0.21634223418654236,LOW,2,TRUST_AWARE_FEDAVG,0.9942192908937062,1.0,1.0,1.0,1.0,0.9924555898492284,1.0,0.9970875930077207,0.7145016680348016,0.7137826849004159
456,2,0.7066,70.66,0.3515198950334945,MEDIUM,2,TRUST_WEIGHTED_ROBUST,0.9965315745362238,1.0,0.8755591248237415,0.8974518913373232,0.8648945525399032,0.9954733539095371,1.0,0.9982525558046323,0.33471116499793474,0.3392476114712841
456,3,0.8365,83.65,0.4324810784197922,MEDIUM,2,TRUST_WEIGHTED_ROBUST,0.9979189447217343,0.9714296098309572,0.8420021415609116,0.8514906568565036,0.8356033981906086,0.9972840123457223,0.9821834243306111,0.9989515334827794,0.1571817157476851,0.16022830223481146
456,4,0.8848,88.48,0.5042769915340253,MEDIUM,2,TRUST_WEIGHTED_ROBUST,0.9987513668330406,0.9828577658985743,0.8560209570676945,0.8617140662450498,0.8521817110455128,0.9977258707530827,0.9722235892774506,0.9973579183113327,0.053158692017250514,0.05479835359031168
456,5,0.9016,90.16,0.5333515380529285,MEDIUM,2,TRUST_WEIGHTED_ROBUST,0.9855284760417415,0.9897146595391446,0.880505369862794,0.8845081145437779,0.8787887014240556,0.9943545962301037,0.9833341535664704,0.9984147509867997,0.0,0.0
456,6,0.9114,91.14,0.5377006197238585,MEDIUM,2,TRUST_WEIGHTED_ROBUST,0.991317085625045,0.9938287957234868,0.9054569582337164,0.9062456614575022,0.9044269571704734,0.9895956004460984,0.9900004921398822,0.9959208808648609,0.0,0.0
456,7,0.92,92.0,0.5395157456873114,MEDIUM,2,TRUST_WEIGHTED_ROBUST,0.994790251375027,0.9962972774340921,0.9266205189423116,0.9214133660444752,0.9120100193279945,0.993757360267659,0.9837149773296446,0.9975525285189165,0.0,0.0
456,8,0.9248,92.47999999999999,0.5401923994381359,MEDIUM,2,TRUST_WEIGHTED_ROBUST,0.9968741508250162,0.9977783664604553,0.9424428218526584,0.9233025903592624,0.9347669516528373,0.9962544161605954,0.9855519619683468,0.9985315171113499,0.0,0.0
456,9,0.9321,93.21000000000001,0.5416504932359522,MEDIUM,2,TRUST_WEIGHTED_ROBUST,0.9981244904950097,0.9707339561465602,0.9560159731887431,0.9445318342927055,0.9514104510688505,0.9738129273130949,0.991331177181008,0.9898926506551968,0.0,0.0
456,10,0.9377,93.77,0.5412405216820059,MEDIUM,2,TRUST_WEIGHTED_ROBUST,0.9988746942970058,0.980119612964078,0.946577205691205,0.9594523128352525,0.9635794829009394,0.9842877563878569,0.9900581313109345,0.9939355903931181,0.0,0.0
789,1,0.44,44.0,0.21720684928477518,LOW,2,TRUST_AWARE_FEDAVG,1.0,1.0,1.0,0.9835924946140651,0.9948262764670205,0.9964197462135973,1.0,1.0,0.7193319041558058,0.7195136690732906
789,2,0.6213,62.129999999999995,0.41201238503711196,MEDIUM,4,TRUST_WEIGHTED_ROBUST,0.9852242588217361,0.6692992240640522,1.0,0.9901554967684391,0.731544900454595,0.9978518477281584,1.0,1.0,0.2982926733873644,0.30026246525814415
789,3,0.8216,82.16,0.4522946297562407,MEDIUM,3,TRUST_WEIGHTED_ROBUST,0.9911345552930417,0.718246201105098,0.9577923684657506,0.9940932980610634,0.7555936069394237,0.998711108636895,0.9015688965887609,0.9865873545587924,0.13258198430271298,0.1303978462162663
789,4,0.8828,88.28,0.5078106736927029,MEDIUM,2,TRUST_WEIGHTED_ROBUST,0.9892236245594285,0.7817673927942064,0.9746754210794504,0.9964559788366381,0.8041758362948018,0.9852855051154652,0.8754427869739234,0.9919524127352755,0.03854207547584507,0.03439713739507663
789,5,0.8937,89.37,0.5324590717215011,MEDIUM,2,TRUST_WEIGHTED_ROBUST,0.9935341747356571,0.8365401104732718,0.9827297391298644,0.9872615716767499,0.8118848801868787,0.9911713030692791,0.884615265680289,0.9951714476411653,0.0,0.0
789,6,0.9103,91.03,0.5366302901873634,MEDIUM,2,TRUST_WEIGHTED_ROBUST,0.9961205048413942,0.8748594092145866,0.9841757620721918,0.9923569430060499,0.8642846644281671,0.9947027818415675,0.9022113298032234,0.9923182255763832,0.0,0.0
789,7,0.9178,91.78,0.5391963039878921,MEDIUM,2,TRUST_WEIGHTED_ROBUST,0.9976723029048365,0.9082619895308337,0.982560119541048,0.970217145436015,0.8640247060493811,0.9968216691049405,0.9205097278845362,0.9953909353458299,0.0,0.0
789,8,0.9311,93.11,0.541770547074723,MEDIUM,2,TRUST_WEIGHTED_ROBUST,0.988146457746304,0.9325181337745407,0.9895360717246289,0.982130287261609,0.9059757636856692,0.9265228207393855,0.9317257430426399,0.997234561207498,0.0,0.0
789,9,0.9362,93.62,0.5422267083187341,MEDIUM,2,TRUST_WEIGHTED_ROBUST,0.9928878746477824,0.949874886098082,0.9937216430347773,0.9633296572950991,0.9341357382885496,0.9559136924436313,0.9242610686627758,0.9983407367244987,0.0,0.0
789,10,0.9404,94.04,0.5416155273443762,MEDIUM,2,TRUST_WEIGHTED_ROBUST,0.9957327247886695,0.9481677575262756,0.9962329858208664,0.9779977943770595,0.953214655232759,0.9719386424492499,0.945473156522202,0.9984172993541969,0.0,0.0
1000,1,0.4593,45.93,0.21492518541621264,LOW,2,TRUST_AWARE_FEDAVG,1.0,1.0,0.99960951992871,1.0,1.0,0.9900796030356367,0.9957606903042475,1.0,0.7202395162426988,0.7208644934838253
1000,2,0.7544,75.44,0.3584174824702653,MEDIUM,2,TRUST_WEIGHTED_ROBUST,1.0,1.0,0.9997657119572261,1.0,1.0,0.994047761821382,0.9974564141825485,1.0,0.28214370974695846,0.2825186960913879
1000,3,0.8595,85.95,0.4411773192052132,MEDIUM,2,TRUST_WEIGHTED_ROBUST,1.0,0.9978911673463855,0.9998594271743356,1.0,1.0,0.9964286570928292,0.9919924018349942,0.9877907693412192,0.12725994542881316,0.12873120410087144
1000,4,0.887,88.7,0.5016150047459806,MEDIUM,2,TRUST_WEIGHTED_ROBUST,1.0,0.9918942152191201,0.9999156563046013,1.0,1.0,0.9901065932290505,0.9951954411009964,0.9894064273745863,0.038103336973273644,0.03897126003816928
1000,5,0.8969,89.69,0.5250814611851622,MEDIUM,2,TRUST_WEIGHTED_ROBUST,1.0,0.9951365291314721,0.9999493937827608,0.9790103441080702,0.9986211230759006,0.9940639559374302,0.988228517458878,0.9936438564247517,0.0,0.0
1000,6,0.9085,90.85,0.5326438940914893,MEDIUM,2,TRUST_WEIGHTED_ROBUST,0.9600939179443851,0.9970819174788833,0.9999696362696565,0.9822632071394829,0.9991726738455403,0.9766323718265864,0.9929371104753267,0.996186313854851,0.0,0.0
1000,7,0.9151,91.51,0.5360835796289625,MEDIUM,2,TRUST_WEIGHTED_ROBUST,0.9760563507666311,0.99824915048733,0.9994013131591755,0.9893579242836897,0.9995036043073242,0.9859794230959518,0.9744408553458064,0.9331056026146034,0.0,0.0
1000,8,0.9247,92.47,0.5373798804466297,MEDIUM,2,TRUST_WEIGHTED_ROBUST,0.9388520078763853,0.998949490292398,0.9996407878955053,0.9786657194258708,0.99607907812968,0.9915876538575711,0.9846645132074838,0.9598633615687621,0.0,0.0
1000,9,0.9306,93.06,0.5389904337603757,MEDIUM,2,TRUST_WEIGHTED_ROBUST,0.9633112047258312,0.9842953780977068,0.9997844727373032,0.9871994316555225,0.997647446877808,0.9949525923145427,0.9889364735535378,0.9637407925750225,0.0,0.0
1000,10,0.9351,93.51,0.5405141277345247,MEDIUM,2,TRUST_WEIGHTED_ROBUST,0.9746655972054701,0.9905772268586241,0.999870683642382,0.9579431373047442,0.97162451693948,0.9969715553887256,0.9933618841321227,0.9782444755450135,0.0,0.0
