round,accuracy,accuracy_percent,risk_score,risk_level,suspicious_clients,aggregator,trust_client_1,trust_client_2,trust_client_3,trust_client_4,trust_client_5,trust_client_6,trust_client_7,trust_client_8,trust_client_9,trust_client_10
1,0.4923,49.230000000000004,0.20147643807427357,LOW,2,TRUST_AWARE_FEDAVG,1.0,0.9953206642025648,1.0,0.9778885162764239,1.0,0.9850765344484735,1.0,1.0,0.7423859962385251,0.7410746746335961
2,0.6565,65.64999999999999,0.37911112416146814,MEDIUM,3,TRIMMED_MEAN,1.0,0.5971923986137028,1.0,0.9867331097658544,1.0,0.9910459206690841,1.0,1.0,0.2954315977436386,0.29464480478070276
3,0.8333,83.33,0.4323605385530918,MEDIUM,3,TRIMMED_MEAN,1.0,0.6749821058348883,1.0,0.9920398658595126,0.9408899818688672,0.9946275524014505,0.9582139746706051,0.9825177467925051,0.1489141198784257,0.1542124480884737
4,0.8679,86.79,0.48404386628919394,MEDIUM,2,TRIMMED_MEAN,1.0,0.7558089356320806,0.9876100694883423,0.9939104414225195,0.9645339891213203,0.9967765314408703,0.9748434292978092,0.989510648075503,0.059046702208186724,0.06127287748766766
5,0.8931,89.31,0.5189699366462416,MEDIUM,2,TRIMMED_MEAN,0.9955816196484326,0.8209650361759964,0.9925660416930053,0.9963462648535117,0.957717476241158,0.9980659188645222,0.9849060575786855,0.9924118061366873,0.0,0.0056794093476136565
6,0.906,90.60000000000001,0.5265401251652843,MEDIUM,2,TRIMMED_MEAN,0.9885426298306884,0.8697327580216377,0.9955396250158032,0.9907390269666474,0.9746304857446948,0.9988395513187134,0.986427345927484,0.9954470836820124,0.0,0.0
7,0.9153,91.53,0.5311617398476771,MEDIUM,2,TRIMMED_MEAN,0.993125577898413,0.9051859988150643,0.9927599506567212,0.9944434161799884,0.9809447042303513,0.9806595936114176,0.9918564075564904,0.9972682502092074,0.0,0.0
8,0.9219,92.19000000000001,0.5330518182064852,MEDIUM,2,TRIMMED_MEAN,0.9958753467390479,0.9288084547230234,0.9956559703940328,0.9966660497079931,0.9885668225382108,0.9883957561668506,0.9863802309185393,0.9969050411051058,0.0,0.0
9,0.925,92.5,0.536047462291563,MEDIUM,2,TRIMMED_MEAN,0.9975252080434287,0.9478353529109621,0.9921381952234163,0.9979996298247958,0.9853216216542251,0.9835437382042412,0.9918281385511236,0.9981430246630635,0.0,0.0
10,0.9338,93.38,0.5381962142080811,MEDIUM,2,TRIMMED_MEAN,0.9657411596004486,0.9614344240062065,0.9952829171340498,0.9832736787029592,0.9911929729925351,0.9901262429225447,0.9940369549692692,0.9988858147978381,0.0,0.0
