round,accuracy,accuracy_percent,risk_score,risk_level,suspicious_clients,aggregator,trust_client_1,trust_client_2,trust_client_3,trust_client_4,trust_client_5,trust_client_6,trust_client_7,trust_client_8,trust_client_9,trust_client_10
1,0.4884,48.84,0.22103502102813966,LOW,2,TRUST_AWARE_FEDAVG,1.0,0.9973475236717776,1.0,0.9878137247171669,1.0,0.9916206547441453,1.0,1.0,0.7247995180598715,0.7260394707890985
2,0.6532,65.32,0.3625183117260421,MEDIUM,2,TRIMMED_MEAN,1.0,0.9984085142030665,1.0,0.9926882348303001,1.0,0.9949723928464872,1.0,1.0,0.28487971083727837,0.2856236824747863
3,0.8329,83.28999999999999,0.42082178255539227,MEDIUM,2,TRIMMED_MEAN,1.0,0.9990451085218399,1.0,0.9956129408981801,0.9591546155208621,0.9969834357078923,0.9653866735798668,0.9825364563710446,0.13239727696053047,0.13478049401058925
4,0.8675,86.75,0.49265656069387886,MEDIUM,2,TRIMMED_MEAN,1.0,0.999427065113104,0.9905911113494139,0.9933600565030116,0.9754927693125173,0.9981900614247353,0.978411846900416,0.9895218738226268,0.04365162603878839,0.04049565584886031
5,0.8924,89.24,0.5214538993922915,MEDIUM,2,TRIMMED_MEAN,0.9849155424539631,0.9993876481831268,0.9943546668096483,0.9960160339018069,0.9641753526096244,0.9989140368548411,0.9870471081402497,0.9937131242935761,0.0,0.0
6,0.9066,90.66,0.5282112091618818,MEDIUM,2,TRIMMED_MEAN,0.9811154795857058,0.999632588909876,0.996612800085789,0.9975487759730204,0.9785052115657746,0.9993484221129046,0.9822809611409888,0.9962278745761456,0.0,0.0
7,0.9151,91.51,0.5333779564373781,MEDIUM,2,TRIMMED_MEAN,0.9886692877514235,0.9997795533459256,0.9863806201387044,0.9985292655838123,0.9816536400898381,0.9820558084903377,0.9893685766845933,0.9977367247456873,0.0,0.0
8,0.9224,92.24,0.53580875923811,MEDIUM,2,TRIMMED_MEAN,0.9932015726508541,0.971213054825184,0.9884690596650542,0.9991175593502873,0.9889921840539029,0.9892334850942026,0.993621146010756,0.9924244788003934,0.0,0.0
9,0.9256,92.56,0.5374903842436445,MEDIUM,2,TRIMMED_MEAN,0.9959209435905124,0.9827278328951105,0.9915589898639168,0.9994705356101724,0.9933953104323417,0.9805283360897458,0.9961726876064536,0.9953978558677289,0.0,0.0
10,0.9332,93.32000000000001,0.539299753497215,MEDIUM,2,TRIMMED_MEAN,0.9780407173229642,0.9896366997370662,0.9919857499773513,0.9960917288468596,0.9960371862594051,0.9883170016538475,0.9977036125638722,0.9972387135206373,0.0,0.0
