round,accuracy,accuracy_percent,aggregator
1,0.7032,70.32000000000001,STANDARD_FEDAVG
2,0.8414,84.14,STANDARD_FEDAVG
3,0.8887,88.87,STANDARD_FEDAVG
4,0.9204,92.04,STANDARD_FEDAVG
5,0.9242,92.42,STANDARD_FEDAVG
6,0.9349,93.49,STANDARD_FEDAVG
7,0.9477,94.77,STANDARD_FEDAVG
8,0.9515,95.15,STANDARD_FEDAVG
9,0.9551,95.50999999999999,STANDARD_FEDAVG
10,0.961,96.1,STANDARD_FEDAVG
