round,accuracy,accuracy_percent,aggregator
1,0.5046,50.46000000000001,STANDARD_FEDAVG
2,0.6569,65.69,STANDARD_FEDAVG
3,0.8317,83.17,STANDARD_FEDAVG
4,0.8673,86.72999999999999,STANDARD_FEDAVG
5,0.8894,88.94,STANDARD_FEDAVG
6,0.9064,90.64,STANDARD_FEDAVG
7,0.9159,91.59,STANDARD_FEDAVG
8,0.9222,92.22,STANDARD_FEDAVG
9,0.9248,92.47999999999999,STANDARD_FEDAVG
10,0.9328,93.28,STANDARD_FEDAVG
