round,accuracy,accuracy_percent,risk_score,risk_level,suspicious_clients,aggregator,trust_client_1,trust_client_2,trust_client_3,trust_client_4,trust_client_5,trust_client_6,trust_client_7,trust_client_8,trust_client_9,trust_client_10
1,0.5008,50.080000000000005,0.1269721447669855,LOW,0,TRUST_AWARE_FEDAVG,1.0,0.9892465941826005,1.0,0.9543678861680481,1.0,0.9917816925052448,1.0,1.0,0.7962375497486095,0.7909175217913225
2,0.6602,66.02,0.3210545465758263,MEDIUM,2,TRIMMED_MEAN,1.0,0.9935479565095603,1.0,0.9726207317008289,1.0,0.9950690155031469,1.0,1.0,0.3277425298497587,0.32455051307534877
3,0.8347,83.47,0.3756502655305708,MEDIUM,2,TRIMMED_MEAN,1.0,0.9961287739057362,1.0,0.9835724390204973,0.8962395088202388,0.9970414093018881,0.9390679316021611,0.9860359330916095,0.18302725343806805,0.20013651281029557
4,0.8693,86.92999999999999,0.4570663498098123,MEDIUM,2,TRIMMED_MEAN,1.0,0.9976772643434417,0.9838386718977566,0.9891325409559386,0.8736360738257299,0.9982248455811329,0.9634407589612967,0.9916215598549657,0.08919580825459919,0.09533315057278999
5,0.8919,89.19,0.4972089725926487,MEDIUM,2,TRIMMED_MEAN,0.9921026759386479,0.9930401996666223,0.9903032031386539,0.9934795245735631,0.8650906685552596,0.9989349073486797,0.978064455376778,0.9949729359129794,0.028304430283177556,0.03750687018587806
6,0.9067,90.67,0.5170682005781239,MEDIUM,2,TRIMMED_MEAN,0.979726550186268,0.9958241197999733,0.9941819218831923,0.9640921922001284,0.8904965715282057,0.9993609444092079,0.9852519395422575,0.9969837615477877,0.018000184338605535,0.0015130662734111344
7,0.9156,91.56,0.5239599641824908,MEDIUM,2,TRIMMED_MEAN,0.9878359301117607,0.997494471879984,0.9748040564072692,0.978455315320077,0.9064645239628711,0.9955611348944211,0.9911511637253545,0.9981902569286726,0.0,0.0
8,0.9226,92.25999999999999,0.526841946982961,MEDIUM,2,TRIMMED_MEAN,0.9927015580670564,0.9920648120700317,0.9832137202271123,0.9870731891920462,0.9283298894477733,0.9973366809366526,0.9919143837976072,0.9989141541572035,0.0,0.0
9,0.9261,92.61,0.5308248417043584,MEDIUM,2,TRIMMED_MEAN,0.9956209348402338,0.995238887242019,0.9899282321362673,0.9922439135152278,0.9451857837650991,0.9846719148065269,0.9846800748702725,0.9960937771787122,0.0,0.0
10,0.9334,93.34,0.533229091495288,MEDIUM,2,TRIMMED_MEAN,0.9901251597441318,0.9971433323452115,0.9939569392817604,0.9720706913808257,0.9559879098634241,0.9908031488839162,0.9908080449221636,0.9976562663072273,0.0,0.0
