round,accuracy,accuracy_percent,risk_score,risk_level,suspicious_clients,aggregator,trust_client_1,trust_client_2,trust_client_3,trust_client_4,trust_client_5,trust_client_6,trust_client_7,trust_client_8,trust_client_9,trust_client_10
1,0.5045,50.449999999999996,0.17209889685246685,LOW,1,TRUST_AWARE_FEDAVG,0.9995491184902476,0.990106083208901,1.0,0.9528311928664025,1.0,0.9932578209125078,1.0,1.0,1.0,0.699252518293665
2,0.6624,66.24,0.2975252698366474,LOW,1,TRUST_AWARE_FEDAVG,0.9997294710941486,0.9940636499253406,1.0,0.9716987157198415,1.0,0.9959546925475047,1.0,1.0,1.0,0.2695515109767278
3,0.8369,83.69,0.36899869594523443,MEDIUM,1,TRIMMED_MEAN,0.9998376826564891,0.9964381899552044,0.9972813621510135,0.9830192294319049,0.8642446705222397,0.9975728155285029,0.9037340918496748,0.9622436468000013,1.0,0.07776672256458239
4,0.8693,86.92999999999999,0.435796507634315,MEDIUM,1,TRIMMED_MEAN,0.9999026095938934,0.9978629139731227,0.9810479367389604,0.9747141468802878,0.8464330068217494,0.9903550642068224,0.8807650452737393,0.9773461880800007,1.0,0.0
5,0.8932,89.32,0.4551969458018062,MEDIUM,1,TRIMMED_MEAN,0.9950649787962487,0.9987177483838736,0.9886287620433762,0.9848284881281727,0.8485633369865474,0.9942130385240935,0.8734214312187717,0.9727533772075846,1.0,0.0
6,0.9064,90.64,0.46912807168520865,MEDIUM,1,TRIMMED_MEAN,0.935122838415285,0.9992306490303242,0.9931772572260258,0.9316953305259845,0.8755693341020107,0.9965278231144561,0.895495029126313,0.9820375791288236,1.0,0.0
7,0.9161,91.61,0.4764946578153082,MEDIUM,1,TRIMMED_MEAN,0.961073703049171,0.9799864165485745,0.9827920487088119,0.9590171983155907,0.9045245304638085,0.9879430351391614,0.9164799474783899,0.9892225474772942,0.9466162866957574,0.0
8,0.9226,92.25999999999999,0.4797430985136249,MEDIUM,1,TRIMMED_MEAN,0.9766442218295026,0.9879918499291447,0.9815235414791138,0.9754103189893545,0.9271658933483358,0.9927658210834969,0.9233732060278517,0.9710213099425643,0.9341547764008481,0.0
9,0.9243,92.43,0.483715100034505,MEDIUM,1,TRIMMED_MEAN,0.9856960342863684,0.9927951099574868,0.9889141248874683,0.9852461913936127,0.9307288065327116,0.9692387631581297,0.9352958968094497,0.9826127859655386,0.9604928658405089,0.0
10,0.9339,93.39,0.486333207246682,MEDIUM,1,TRIMMED_MEAN,0.9841352557058493,0.995677065974492,0.9809380014982283,0.9458799812461082,0.9493537992441635,0.9815432578948778,0.9520940534102064,0.9642166629770301,0.9762957195043053,0.0
