round,accuracy,accuracy_percent,risk_score,risk_level,suspicious_clients,aggregator,trust_client_1,trust_client_2,trust_client_3
1,0.8468,84.68,0.14417534458932277,LOW,0,TRUST_AWARE_FEDAVG,1.0,1.0,0.8558280922694517
2,0.9008,90.08,0.176046666340032,LOW,0,TRUST_AWARE_FEDAVG,1.0,1.0,0.7615183742833339
3,0.9225,92.25,0.31337053866589354,MEDIUM,1,TRIMMED_MEAN,1.0,1.0,0.6932337257736282
4,0.9406,94.06,0.32601007059261583,MEDIUM,1,TRIMMED_MEAN,1.0,1.0,0.6561855331092808
5,0.9509,95.09,0.3393539931387833,MEDIUM,1,TRIMMED_MEAN,1.0,1.0,0.6269719945439024
6,0.9549,95.49,0.35200616157492354,MEDIUM,1,TRIMMED_MEAN,1.0,1.0,0.6070728236220435
7,0.9642,96.41999999999999,0.3649742787137464,MEDIUM,1,TRIMMED_MEAN,1.0,1.0,0.5917536675002337
8,0.9657,96.57,0.3758539206599843,MEDIUM,1,TRIMMED_MEAN,1.0,1.0,0.5828171065942288
9,0.9668,96.67999999999999,0.38194263635934816,MEDIUM,1,TRIMMED_MEAN,1.0,1.0,0.5785407477450338
10,0.971,97.1,0.3892798753298525,MEDIUM,1,TRIMMED_MEAN,1.0,1.0,0.5844017084821982
