round,accuracy,accuracy_percent,aggregator
1,0.481,48.1,STANDARD_FEDAVG
2,0.6506,65.06,STANDARD_FEDAVG
3,0.812,81.2,STANDARD_FEDAVG
4,0.8551,85.50999999999999,STANDARD_FEDAVG
5,0.884,88.4,STANDARD_FEDAVG
6,0.9013,90.13,STANDARD_FEDAVG
7,0.9112,91.12,STANDARD_FEDAVG
8,0.9176,91.75999999999999,STANDARD_FEDAVG
9,0.9218,92.17999999999999,STANDARD_FEDAVG
10,0.9316,93.16,STANDARD_FEDAVG
